Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
tech2b Inkubator,https://www.crunchbase.com/organization/tech2b-incubator-2,Incubator,256,7,"Linz, Oberosterreich, Austria","Seed, Venture",Upper Austrian Business Hightech Incubator.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-01-01,year,http://tech2b.at/,https://www.linkedin.com/company/tech2b-inkubator-gmbh/about/,255,42,
Calm/Storm Ventures,https://www.crunchbase.com/organization/calm-storm-ventures,"Micro VC, Venture Capital",92,2,"Vienna, Wien, Austria","Convertible Note, Early Stage Venture, Seed, Venture",Calm/Storm is the most prominent super-early-stage digital health fund in Europe with a focus on femtech & tabootech and female founders.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://www.calmstorm.vc,https://www.linkedin.com/company/calmstorm,79,8,
eQventure,https://www.crunchbase.com/organization/eqventure,"Angel Group, Venture Capital",51,4,"Graz, Steiermark, Austria","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",eQventure offers hard & smart capital for Austrian growth companies,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.eqventure.com/,https://www.linkedin.com/company/eqventure/,20,38,
austria Wirtschaftsservice (aws),https://www.crunchbase.com/organization/austria-wirtschaftsservice,"Angel Group, Government Office",44,4,"Vienna, Wien, Austria","Debt, Early Stage Venture, Grant, Seed",Austria Wirtschaftsservice is an Austrian federal development and financing bank for the promotion and financing of companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1954-01-01,year,http://www.awsg.at,https://www.linkedin.com/company/austria-wirtschaftsservice/about/,36,12,
Arax Capital Partners,https://www.crunchbase.com/organization/arax-capital-partners,Micro VC,40,6,"Vienna, Wien, Austria",Early Stage Venture,ARAX Capital Partners provides Seed and early stage investments to Austrian biotech and hightech startups,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,http://www.arax.at,https://www.linkedin.com/company/arax-capital-partners-gmbh,16,4,2
Round2 Capital Partners,https://www.crunchbase.com/organization/round2-capital-partners,"Venture Capital, Venture Debt",28,3,"Vienna, Wien, Austria","Debt, Early Stage Venture, Late Stage Venture, Venture",Round2 Capital Partners provides non-dilutive growth debt to fast growing tech companies in DACH and Nordics regions.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://www.round2cap.com,https://www.linkedin.com/company/round2-capital-partners/,24,27,
Gamma Capital Partners,https://www.crunchbase.com/organization/gamma-capital-partners,Micro VC,28,7,"Vienna, Wien, Austria","Early Stage Venture, Seed","GCP is now the Austrian technology VC investor, managing a portfolio of over 20 investments from four funds.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-01-01,year,http://www.gamma-capital.com,https://www.linkedin.com/company/gcp-gamma-capital-partners,20,6,
DuckDAO,https://www.crunchbase.com/organization/duckdao,"Incubator, Venture Capital",22,,"Vienna, Wien, Austria",Early Stage Venture,DuckDAO is a community-backed incubator powered by a network of engaged investors in the digital asset ecosystem.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://duckdao.io/,https://www.linkedin.com/company/duckdao,22,,
Vienna Business Agency,https://www.crunchbase.com/organization/vienna-business-agency,Co-Working Space,21,,"Vienna, Wien, Austria",,The Vienna Business Agency is the first point of contact for national and international companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1982-01-01,year,https://viennabusinessagency.at/,https://www.linkedin.com/company/vienna-business-agency/,18,10,
European Super Angels Club,https://www.crunchbase.com/organization/european-super-angels-club,"Angel Group, Family Investment Office, Venture Capital",18,3,"Vienna, Wien, Austria","Convertible Note, Early Stage Venture, Seed, Venture",The European Super Angels Club is a network of investors and offers its members access to international co-investments of European startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-17,day,https://superangels.club,https://www.linkedin.com/company/europeanangels,9,6,
Syntaxis Capital,https://www.crunchbase.com/organization/syntaxis-capital,"Private Equity Firm, Venture Capital, Venture Debt",17,12,"Vienna, Wien, Austria",,Syntaxis is an independent specialist junior capital advisor that finances private mid-market companies in Central Europe.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-01-01,year,http://www.syntaxis-capital.com,https://www.linkedin.com/company/syntaxis-capital/about/,17,5,
OOE Hightechfonds GmbH,https://www.crunchbase.com/organization/hightechfonds,"Incubator, Startup Competition, Venture Capital",14,,"Linz, Oberosterreich, Austria","Early Stage Venture, Seed","A venture capital fund based in Linz, Austria. Invests in domestic start-ups and SMEs that develop and market high-tech products/services.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-01-01,year,https://www.hightechfonds.at/,https://www.linkedin.com/company/hightechfonds,14,,
Clean Cities ClimAccelerator,https://www.crunchbase.com/organization/clean-cities-climaccelerator,Accelerator,12,,"Vienna, Wien, Austria",Grant,Clean Cities ClimAccelerator is an accelerator program focused on the impact of climate change in urban areas.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.cleancities.network,,12,12,
Triple Impact Ventures,https://www.crunchbase.com/organization/triple-impact-ventures,"Angel Group, Family Investment Office, Venture Capital",10,,"Vienna, Wien, Austria","Early Stage Venture, Seed","VC family office investing in (pre)-seed tech startups tackling climate, biodiversity & pollution crises","European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-03-01,month,https://www.triple-impact.ventures,https://www.linkedin.com/company/triple-impact-ventures,9,,
Hardlymountain,https://www.crunchbase.com/organization/hardlymountain,"Angel Group, Venture Capital",9,,"Baden, Niederosterreich, Austria",Seed,Hardlymountain Capital is passionate about establishing outstanding software startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-08-24,day,https://www.hardlymountain.com/,https://www.linkedin.com/company/hardlymountain,8,,
MAD Ventures GmbH,https://www.crunchbase.com/organization/mad-ventures-gmbh,"Accelerator, Angel Group",9,,"Innsbruck, Tirol, Austria","Early Stage Venture, Seed, Venture",ACCELERATE THE GROWTH OF YOUR INNOVATION,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-04-20,day,https://www.mad.ag/,https://www.linkedin.com/company/mad-ventures-gmbh,4,6,
5starts,https://www.crunchbase.com/organization/5starts,Incubator,9,,"Vienna, Wien, Austria",,"Austria's founder-friendly incubator for earlystage startups in SaaS, fintech, big data, hardware and service platforms.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,day,http://www.5starts.io,,9,8,
Impact Hub,https://www.crunchbase.com/organization/impact-hub-kings-cross,"Accelerator, Co-Working Space",8,,"Vienna, Wien, Austria","Grant, Seed",Impact Hub provides a workspace that connects entrepreneurs for environmental and sustainability initiatives.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-01-01,day,http://www.impacthub.net/,http://www.linkedin.com/company/hub-kings-cross,8,1,
Pioneers Ventures,https://www.crunchbase.com/organization/pioneers-ventures,"Micro VC, Venture Capital",8,,"Linz, Oberosterreich, Austria","Early Stage Venture, Seed","Pre-seed investor empowering outstanding European startups with our global network of corporates, industry experts and entrepreneurs.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-05-28,day,http://www.pioneersventures.com,https://www.linkedin.com/company/pioneers-ventures,7,2,
Hansmen Group,https://www.crunchbase.com/organization/hansmen-group,Angel Group,7,,"Vienna, Wien, Austria",Seed,"The hansmengroup is a bunch of startups, that share common values","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://hansmengroup.com,https://www.linkedin.com/company/hans-wo-men-group/,6,4,
Up to Eleven Digital Solutions,https://www.crunchbase.com/organization/up-to-eleven-digital-solutions-gmbh,Accelerator,7,1,"Graz, Steiermark, Austria","Early Stage Venture, Seed","UT11 co-founds early stage businesses in the field of mobile, accelerates growth through active involvement & looks for venture financing.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-04-01,month,http://ut11.net/,https://www.linkedin.com/company/2904997,4,3,
Growth Ninjas,https://www.crunchbase.com/organization/growth-ninjas-gmbh,"Accelerator, Incubator, Venture Capital",4,1,"Vienna, Wien, Austria","Early Stage Venture, Seed","Supporting startups, SMEs and Corporates in funding, growth and digitization","European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-09-01,day,https://www.growth-ninjas.com/,https://www.linkedin.com/company/growth-ninjas/,4,,
Kofi Annan Award for Innovation in Africa,https://www.crunchbase.com/organization/kofi-annan-award-for-innovation-in-africa,Entrepreneurship Program,4,,"Vienna, Wien, Austria",,Kofi Annan Award for Innovation is setup by Austrian Federal Chancellery with Kannan foundation to encourage African social entrepreneurs.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.bundeskanzleramt.gv.at/en/kofiannanaward.html,https://www.linkedin.com/in/kofi-annan-award-for-innovation-in-africa/,4,4,
Elevation Investments,https://www.crunchbase.com/organization/elevation-investments,"Angel Group, Venture Capital",4,1,"Vienna, Wien, Austria","Early Stage Venture, Seed",Captures investment opportunities in the segment of PERSONAL GROWTH,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-04-01,month,https://www.elevation-investments.com,,3,,
Lab10,https://www.crunchbase.com/organization/lab10,Incubator,4,,"Graz, Steiermark, Austria",,We focus on digital enabled technologies and vertical innovation that will grow new markets and eventually disrupt existing ones.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.lab10.at/,,4,4,
New Renaissance Ventures,https://www.crunchbase.com/organization/new-renaissance-ventures,"Micro VC, Venture Capital",3,,"Vienna, Wien, Austria",Seed,New Renaissance Ventures is the first dedicated tech fund for the Cultural and Creative Industries.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2023-10-01,month,https://www.nr.ventures/,https://www.linkedin.com/company/new-renaissance-ventures/,3,,
Roi Ventures,https://www.crunchbase.com/organization/roi-ventures-bd19,Angel Group,3,,"Vienne, Wien, Austria","Early Stage Venture, Seed",Angel Investor Group - grow with us!,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.roi-ventures.at,https://www.linkedin.com/company/roi1-ventures/?originalSubdomain=at,3,,
Next Floor,https://www.crunchbase.com/organization/next-floor-tacc,"Accelerator, Angel Group, Venture Capital",3,,"Salzburg, Salzburg, Austria","Convertible Note, Seed",Accelerator for Travel and Tourism startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://tacc.next-floor.at/,https://www.linkedin.com/company/next-floor-gmbh/about/,3,2,
Agro Innovation Lab Gmbh,https://www.crunchbase.com/organization/agro-innovation-lab,"Accelerator, Corporate Venture Capital",2,,"Vienna, Wien, Austria","Early Stage Venture, Late Stage Venture, Seed","The Agro Innovation Lab is a joint innovation platform of BayWa & RWA, two of the most important players in the global agricultural sector. ","European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,month,https://www.agroinnovationlab.com,https://www.linkedin.com/company/agroinnovationlab,1,,
MCI Management Center Innsbruck,https://www.crunchbase.com/organization/mci-management-center-innsbruck,University Program,2,,"Innsbruck, Tirol, Austria",,"MCI Management Center Innsbruck is a school focusing on science, economics, and consulting.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1995-01-01,year,http://www.mci.edu/,https://www.linkedin.com/company/management-center-innsbruck,2,1,
floud ventures,https://www.crunchbase.com/organization/floud-ventures,Micro VC,2,,"Vienna, Wien, Austria","Convertible Note, Early Stage Venture, Seed",Investment company specializing in pre-seed and seed investements in the areas of SaaS & hardware.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-11-14,day,,,2,,
SweeNo Invest,https://www.crunchbase.com/organization/sweeno-invest,Angel Group,2,,"Munchendorf, Niederosterreich, Austria",Seed,Business Angel from Austria,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,1,,
Mapcon Consulting,https://www.crunchbase.com/organization/mapcon-consulting,Angel Group,2,,"Leonding, Oberosterreich, Austria",,Business angel in Austria with strategic focus on the B2B IT start-ups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.mapcon.at/,,2,,
Frequentis,https://www.crunchbase.com/organization/frequentis,Incubator,1,,"Vienna, Wien, Austria",,Frequentis is a global provider of information and communication technologies for control centres that handle safety-sensitive operations.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1947-01-01,year,http://www.frequentis.com/,https://www.linkedin.com/company/15158,1,,
Female Founders,https://www.crunchbase.com/organization/female-founders-global,Accelerator,1,,"Vienna, Wien, Austria",Seed,Female Founders is a provider of woman entrepreneurship and leadership management services.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://female-founders.org/,https://www.linkedin.com/company/femalefoundersglobal/,1,1,
Smart Family Office,https://www.crunchbase.com/organization/smart-family-office,"Family Investment Office, Private Equity Firm, Venture Capital, Venture Debt",1,,"Salzburg, Salzburg, Austria","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Venture","Smart Family Office offers asset allocation strategies, trust fund solutions, and philanthropic partnerships for family wealth management.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.smartfamilyoffice.com/,https://www.linkedin.com/company/smartfamilyoffice,1,1,
Austrian Angel Investors Association,https://www.crunchbase.com/organization/austrian-angel-investors-association,Angel Group,1,,"Vienna, Wien, Austria",,The Austrian Angel Investors Association is the national advocacy of Business Angels and Angel Investors in Austria.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-10-09,day,http://www.aaia.at/,http://www.linkedin.com/company/austrian-angel-investors-association-aaia-,1,1,
weXelerate,https://www.crunchbase.com/organization/wexelerate-gmbh,Accelerator,1,,"Vienna, Wien, Austria","Early Stage Venture, Late Stage Venture, Seed",weXelerate is an Europe's smartest startup & innovation hub.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-09-01,month,https://wexelerate.com,https://www.linkedin.com/company/wexelerate-gmbh/,1,,
Next Monday Ventures,https://www.crunchbase.com/organization/next-monday-ventures,"Accelerator, Angel Group, Venture Capital",1,,"Vienna, Wien, Austria",Early Stage Venture,Venture Fund and Accelerator,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-01-01,year,https://www.nextmonday.vc/,https://www.linkedin.com/company/93788988,1,1,
asp. group,https://www.crunchbase.com/organization/asp-group-f597,"Accelerator, Venture Capital",1,,"Vienna, Wien, Austria",Seed,"asp. group is an Investment management firm creating impact at the intersection of entrepreneurship, leadership, and innovation.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1991-01-01,year,https://www.asp.group/,https://www.linkedin.com/company/asp-group-creates-impact/,1,,
TheMerger,https://www.crunchbase.com/organization/the-merger,"Micro VC, Venture Capital",1,,"Vienna, Wien, Austria",Seed,TheMerger is a European corporate development and investment firm that focuses on the mobile and internet sector in Central Europe.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-11-01,day,http://www.themerger.com,,1,,
Michael Altrichter Beteiligungs GmbH,https://www.crunchbase.com/organization/speed-beteiligungs-gmbh,"Angel Group, Venture Capital",1,,"Allhartsberg, Niederosterreich, Austria",,"Michael Altrichter a business angel & impact investor and invested in wikifolio, rublys, tourradar, diagnosia (among others).","European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-07-01,day,http://www.altrichter.pro/,https://www.linkedin.com/company/speed-beteiligungs-gmbh/,1,,
ML-Delta,https://www.crunchbase.com/organization/ml-delta,Micro VC,1,1,"Vienna, Wien, Austria",Seed,"ML-Delta is is the engineering company, that deals with the production of spare parts for the agricultural machinery.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.mldelta.com,https://www.linkedin.com/company/ml-delta-gmbh,1,,
Business Creation Center Salzburg,https://www.crunchbase.com/organization/business-creation-center-salzburg,"Incubator, University Program",1,,"Salzburg, Salzburg, Austria",Seed,Existing innovation potential for business start-ups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-01-01,year,http://www.bccs.at,,1,,
Founders of Europe,https://www.crunchbase.com/organization/founders-of-europe,Angel Group,1,,"Vienna, Wien, Austria",Seed,We are a group of experienced startup founders who invest their time and money into the new generation of startup founders.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-02-01,month,http://www.foundersofeurope.com,https://www.linkedin.com/company/founders-of-europe,1,,
Segments Accelerator,https://www.crunchbase.com/organization/segments-accelerator,Accelerator,1,,"Vienna, Wien, Austria",,Startup Accelerator & Business Consulting in CEE,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,http://www.segments-accelerator.com,,1,,
celianventures,https://www.crunchbase.com/organization/celianventures,Incubator,1,,"Linz, Oberosterreich, Austria","Early Stage Venture, Seed","We fund and incubate Software Start-Ups in Austria. We offer support in any form, a home base and a shoulder to cry on.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,day,http://www.celianventures.com,,1,,
Code Capital Holding,https://www.crunchbase.com/organization/code-capital-holding,"Accelerator, Private Equity Firm, Venture Capital",1,,"Vienna, Wien, Austria",,"The investment company of serial entrepreneur Benjamin Ruschin invests in highly scalable, early-stage tech startups.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-06-01,month,https://www.codecapital.at/,https://www.linkedin.com/company/code-capital-group,1,,
KLabs,https://www.crunchbase.com/organization/klabsfund,"Angel Group, Incubator, Micro VC, Syndicate",,,"Vienna, Wien, Austria",Seed,KLabs is a venture capital and private equity firm that invests out their own fund into immigrant founders.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2024-01-01,year,,,,,
Gold Ventures Incubator,https://www.crunchbase.com/organization/gold-ventures-incubator,Incubator,,,"Vienna, Wien, Austria",,The new and unique concept home for Entrepreneurs of the Start-up Nation,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.gold-ventures.com,https://www.linkedin.com/company/gold-ventures-incubator,,,
Raum13,https://www.crunchbase.com/organization/raum13-2,Co-Working Space,,,"Innsbruck, Tirol, Austria",,"Raum13 provides multi-purpose, representative and affordable residential premises for one-person businesses.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.raum13.at/,,,,
qubitec ventures,https://www.crunchbase.com/organization/qubitec-ventures,"Incubator, Venture Capital",,,"Vienna, Wien, Austria","Early Stage Venture, Seed",Investing into Software Startups,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2024-06-12,day,https://ventures.qubitec.io,,,,
1000x1000 Crowdbusiness GmbH,https://www.crunchbase.com/organization/1000x1000-crowdbusiness-gmbh,Co-Working Space,,,"Graz, Steiermark, Austria",,1000x1000 is an initiative of the ISN - Innovation Service Network GmbH for more innovation with less risk.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://1000x1000.at,,,,
A1 Start Up Campus,https://www.crunchbase.com/organization/a1-start-up-campus,Incubator,,,"Vienna, Wien, Austria",,Selected start-ups offer a new home and accompany them in their first steps on stage at the Big Business.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.a1startup.net/,,,,
International Incubator Hagenberg,https://www.crunchbase.com/organization/international-incubator-hagenberg,Incubator,,,"Hagenberg Im Muhlkreis, Oberosterreich, Austria",,"Location, Venture Capital, Mentoring","European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://www.softwarepark.at,,,,
Start-up Center Start Up Tirol GmbH,https://www.crunchbase.com/organization/cast-tyrol,Incubator,,,"Innsbruck, Tirol, Austria",Seed,STARTUP.TIROL has the goal of supporting entrepreneurs and start-up companies and jointly creating an attractive startup location in Tyrol.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.startup.tirol,https://www.linkedin.com/company/startup-tirol,,,
Science Park Graz,https://www.crunchbase.com/organization/science-park-graz,Incubator,,,"Graz, Steiermark, Austria",,"Science Park Graz is a non profit organisation that offers innovation and entrepreneurship, that transform their ideas into businesses.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-01-01,year,http://sciencepark.at/,https://www.linkedin.com/company/9321358?,,,
