Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Global Founders Capital,https://www.crunchbase.com/organization/global-founders-capital,"Private Equity Firm, Venture Capital",992,93,"Berlin, Berlin, Germany","Early Stage Venture, Private Equity, Seed",GFC is a venture fund that supports entrepreneurs at any stage in their business development across global markets.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://www.globalfounderscapital.com,https://www.linkedin.com/company/global-founders-capital,696,254,11
HTGF | High-Tech Gruenderfonds,https://www.crunchbase.com/organization/high-tech-gründerfonds,Venture Capital,925,123,"Bonn, Nordrhein-Westfalen, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture","High-Tech Gruenderfonds specializes in investments in seed or startups, early venture, seed capital, and mezzanine financing.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-09-01,day,https://www.htgf.de,http://www.linkedin.com/company/high-tech-grunderfonds,649,249,4
HV Capital,https://www.crunchbase.com/organization/holtzbrinck-ventures,Venture Capital,455,90,"Munich, Bayern, Germany","Early Stage Venture, Late Stage Venture, Seed",HV Capital is a venture capital firm that supports founders in developing their internet companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.hvcapital.com,https://www.linkedin.com/company/hvcapital,234,136,13
Picus Capital,https://www.crunchbase.com/organization/picus-capital,Venture Capital,309,14,"Munich, Bayern, Germany","Early Stage Venture, Seed",Picus Capital is an early-stage technology investment firm with a long-term investment philosophy.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.picuscap.com,https://www.linkedin.com/company/picus-capital/,169,58,
Earlybird Venture Capital,https://www.crunchbase.com/organization/earlybird-venture-capital,Venture Capital,292,58,"Berlin, Berlin, Germany","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",Earlybird is a venture capital investor focused on European technology innovators.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1997-07-01,day,http://earlybird.com/,http://www.linkedin.com/company/earlybird-venture-capital,176,115,8
Point Nine,https://www.crunchbase.com/organization/point-nine-capital,Venture Capital,284,43,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Seed",Point Nine Capital is a venture capital firm focusing on early-stage investments related to SaaS and digital marketplaces.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://www.pointnine.com,http://www.linkedin.com/company/point-nine-capital,164,85,5
b2venture,https://www.crunchbase.com/organization/btovpartners,Venture Capital,247,34,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture",b2venture is a venture capital firm focused on early-stage investments in digital and industrial technology companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.b2venture.vc,https://www.linkedin.com/company/b2venture,143,57,3
Bayern Kapital,https://www.crunchbase.com/organization/bayern-kapital,Venture Capital,245,29,"Landshut, Bayern, Germany","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","Bayern Kapital is a venture capital company that offers finances for R&D, market launch of new products, and product diversification.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1995-01-01,year,https://bayernkapital.de,https://www.linkedin.com/company/bayern-kapital-gmbh,158,32,2
Wellington Partners,https://www.crunchbase.com/organization/wellington-partners,Venture Capital,244,60,"Munich, Bayern, Germany","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",Wellington Partners is a venture capital firm that invests in technology and life sciences companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.wellington-partners.com,http://www.linkedin.com/company/wellington-partners,131,76,12
IBB Ventures,https://www.crunchbase.com/organization/ibb,Venture Capital,242,38,"Berlin, Berlin, Germany","Early Stage Venture, Seed",IBB Ventures invests in technology-oriented companies and companies from the creative industries.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1997-01-01,year,https://www.ibbventures.de/,https://www.linkedin.com/company/ibb-beteiligungsgesellschaft-mbh,168,40,1
Atlantic Labs,https://www.crunchbase.com/organization/atlantic-labs,Venture Capital,221,29,"Berlin, Berlin, Germany","Early Stage Venture, Seed, Venture","Atlantic Labs is a European first round investor, headquartered in Berlin.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.atlanticlabs.de,https://www.linkedin.com/company/atlantic-labs/,123,108,2
Cherry Ventures,https://www.crunchbase.com/organization/cherry-ventures,Venture Capital,218,18,"Berlin, Berlin, Germany","Early Stage Venture, Seed","Cherry Ventures is a seed fund, founded by entrepreneurs with substantial experience in building fast-scaling technology companies.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,day,http://www.cherry.vc,https://www.linkedin.com/company/cherry-ventures,127,74,1
Target Global,https://www.crunchbase.com/organization/target-ventures,Venture Capital,216,24,"Berlin, Berlin, Germany","Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed, Venture",Target Global is a venture capital firm that invests in tech companies across all stages of their lifecycle.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.targetglobal.vc,https://www.linkedin.com/company/target-global,136,92,6
TA Ventures,https://www.crunchbase.com/organization/ta-venture,Venture Capital,209,44,"Frankfurt, Hessen, Germany","Early Stage Venture, Seed, Venture","TA Ventures is a global VC firm empowering founders to build innovative, scalable technology companies.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.taventures.vc,https://www.linkedin.com/company/ta-ventures/,173,5,2
Project A Ventures,https://www.crunchbase.com/organization/project-a-ventures,Venture Capital,205,32,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture","Project A is an early-stage venture capital firm, combining financial and operational support for technology companies.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.project-a.com,https://www.linkedin.com/company/project-a-ventures/,113,62,
KfW,https://www.crunchbase.com/organization/kfw,"Government Office, Investment Bank, Venture Capital",189,50,"Frankfurt, Hessen, Germany","Debt, Early Stage Venture, Late Stage Venture, Seed",KfW operates as the promotional bank of the Federal Republic of Germany that engages in the financing of corporate investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1948-12-16,day,https://www.kfw.de,https://www.linkedin.com/company/kfw,144,24,8
APX,https://www.crunchbase.com/organization/apxberlin,Venture Capital,179,5,"Berlin, Berlin, Germany","Early Stage Venture, Seed",APX invests up to EUR 500K in startups until a series A starting with a quick EUR 50K investment.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-03-01,month,https://apx.vc/,,134,51,
Rocket Internet,https://www.crunchbase.com/organization/rocket-internet,"Incubator, Private Equity Firm, Venture Capital",155,46,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",Rocket Internet incubates and invests in internet and technology companies globally.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,https://www.rocket-internet.com/,https://www.linkedin.com/company/1298456,109,43,9
TGFS - Technologiegründerfonds Sachsen,https://www.crunchbase.com/organization/technologiegrnderfonds-sachsen,Venture Capital,140,9,"Leipzig, Sachsen, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture",TGFS invests in start ups and young companies in the high technology area headquartered or located in Saxony.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-01-01,year,https://www.cfh.de,https://www.linkedin.com/company/tgfs/,97,30,
