Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
123Fahrschule,https://www.crunchbase.com/organization/123-school,Active,,"Automotive, E-Learning, Education, Training","Köln, Nordrhein-Westfalen, Germany",123Fahrschule specializes in the consolidation and digital expansion of the driver's license training in the driving school market.,"253,032","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2016-07-01,month,,,,,For Profit,https://www.123fahrschule.de/,https://twitter.com/123fahrschule?lang=de,https://www.facebook.com/123fahrschule.de/,https://www.linkedin.com/company/123fahrschule/,"123Fahrschule offers intelligent application software for administration, e-learning, and individual learning status control for driver's license training for all driver's license classes.","Education, Software, Transportation",1,251-500,Boris Polenske,2,Seed,2017-06-01,,,,Seed,,,,Seed,,,,,,,"Enjoyventure Management, Media Ventures, VCDE Venture Partners",2,3,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
1NCE,https://www.crunchbase.com/organization/1nce-gmbh,Active,,"Business Intelligence, Data Management, Internet of Things, Smart Building, Smart Cities, Software, Telecommunications, Wireless","Köln, Nordrhein-Westfalen, Germany",1NCE is the only provider of connectivity and software for IoT at a global flat rate,"3,262","European Union (EU), Europe, Middle East, and Africa (EMEA)",50676,$1B to $10B,2017-12-01,month,,,,,For Profit,https://1nce.com,https://twitter.com/1NCE_IoT,https://www.facebook.com/1NCEGmbH,https://www.linkedin.com/company/18471615/,"1NCE is the only provider of connectivity and software for IoT at a global flat rate – offering fast, secure, and reliable cellular connectivity and software services in 140 countries worldwide. The 1NCE IoT Flat Rate is designed to last over the entire lifetime of an IoT device with a one-off payment of $10 (€10) for 10 years, making IoT applications affordable and scalable for smart utilities, asset tracking, vehicle telematics and other uses.  The company – founded in 2017 by CEO Alexander P. Sator together with Deutsche Telekom AG – is headquartered in Cologne, Germany and has 200 staff in Amsterdam, Cologne, Hamburg, Hong Kong, London, Miami, Paris, Riga, Rome, and Warsaw.","Data and Analytics, Hardware, Internet Services, Mobile, Real Estate, Software",3,251-500,"Alexander Bufalino, Alexander P Sator, Kim Juchem",3,,2022-06-08,,,,Venture - Series Unknown,,,,Venture - Series Unknown,50000000,USD,50000000,50000000,USD,50000000,"SoftBank Vision Fund, SoftBank, I Squared Capital, Deutsche Telekom",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,7
aedifion,https://www.crunchbase.com/organization/aedifion,Active,,"Cloud Data Services, Software","Cologne, Nordrhein-Westfalen, Germany","Buildings Simply Made Better: The AI-based cloud platform enables us to reduce energy waste, CO2 emissions and operating costs of buildings.","19,490","European Union (EU), Europe, Middle East, and Africa (EMEA)",50672,$1M to $10M,2017-09-14,day,,,,,For Profit,https://www.aedifion.com/,,,https://www.linkedin.com/company/aedifion/,"aedifion helps to manage buildings sustainably, efficiently, and transparently. We are a Cologne-based PropTech with over 60 employees and operate Germany's leading software solution for technical building equipment. Our AI-based cloud platform enables us to reduce energy consumption, CO2 emissions and operating costs of buildings by up to 40%. Our plug-and-play solution collects real-time operational data, identifies malfunctions, and provides clear recommendations for action to optimize operations. This will pave the way for efficient, sustainable buildings that retain their value. A win-win-win for owners, operators and tenants.","Information Technology, Internet Services, Software",3,51-100,"Erik Brümmendorf, Jan Henrik Ziegeldorf, Johannes Fütterer",4,Early Stage Venture,2023-01-01,12000000,EUR,12846645,Series A,12000000,EUR,12846645,Series A,12000000,EUR,12846645,12000000,EUR,12846645,"World Fund, BitStone Capital, Drees & Sommer AG, Phoenix Contact Innovation Ventures, Bauwens Digital",3,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
aiconix GmbH,https://www.crunchbase.com/organization/aiconix-ai,Active,,"Analytics, Artificial Intelligence (AI), Machine Learning, Media and Entertainment, SaaS, Software, Speech Recognition","Köln, Nordrhein-Westfalen, Germany",aiconix.ai relies on artificial intelligence in the area of ​​video optimization.,"74,363","European Union (EU), Europe, Middle East, and Africa (EMEA)",51149,$1M to $10M,2018-04-13,day,,,,,For Profit,http://www.aiconix.ai/,https://twitter.com/aiconix_ai,https://www.facebook.com/aiconix/,https://www.linkedin.com/company/aiconix-ai,"aiconix GmbH an AI technology enabler and solutions provider for analysis and processing of audio-visual content. By helping our customers to enrich their audiovisual (AV) content to make it detectable, searchable and usable, we enable them to work smarter.  We make the best AI solutions for content processing available to everyone and every industry.","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",2,11-50,"Aleksander Koleski, Eugen Gross",9,Private Equity,2021-12-20,300000,EUR,338316,Non-equity Assistance,300000,EUR,339572,Private Equity,1375000,EUR,1580393,2323157,EUR,2686703,"Next Media Accelerator, IFB Innovationsstarter, Ragnar Kruse, Kim Nis Neuhauss, Jens Schumann",1,7,,,,,,,,,,,,,,Private,,,,,,,,,,,8
AnwaltOnlinemarketing,https://www.crunchbase.com/organization/anwaltonlinemarketing,Active,,Professional Services,"Cologne, Nordrhein-Westfalen, Germany",AnwaltOnlinemarketing is the law firm for lawyers offers you the know-how and the tools for successful internet advertising.,"2,046,436","European Union (EU), Europe, Middle East, and Africa (EMEA)",50668,,2015-01-01,year,,,,,For Profit,http://anwaltonlinemarketing.de/,,,https://www.linkedin.com/company/levelev-consulting-ug-haftungsbeschränkt-,AnwaltOnlinemarketing is the law firm for lawyers offers you the know-how and the tools for successful internet advertising. We advise lawyers on questions of client acquisition and distribution of legal services via the Internet. For this we have developed specially adapted products for lawyers!,Other,,1-10,,1,Seed,2016-01-01,,,,Seed,,,,Seed,,,,,,,Axel Springer Plug and Play Accelerator,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
apadua,https://www.crunchbase.com/organization/apadua,Active,,"B2B, Information Technology, Internet, Management Consulting, Project Management, SaaS, Software","Cologne, Nordrhein-Westfalen, Germany","SaaS, B2B, AI, Platform, ProcureTech, Procurement, Professional Services, Market Intelligence, Project Performance Monitoring","76,401","European Union (EU), Europe, Middle East, and Africa (EMEA)",50823,Less than $1M,2016-11-01,day,,,,,For Profit,http://www.apadua.com,,,https://www.linkedin.com/company/15220881,"apadua provides an AI-powered SaaS solution for services procurement. Its five core modules boost productivity and collaboration between buyers and internal customers in the services category: 1. BRIEF enables users to leverage AI to create tender-ready project descriptions in minutes collaboratively. 2. EXPLORE is a comprehensive AI-curated online vendor directory. Here, preferred partners, approved suppliers, and new providers can be found and selected based on their project fit. 3. SOURCE is tailored to the procurement of services, complementing conventional S2C solutions. Buyers and their internal customers are guided through the competitive tendering process. 4. MONITOR is a survey-based project quality and performance tracking system. By continuously collecting feedback from all stakeholders, risks are identified before they become actual problems. 5. APALYTICS consolidates all data ever exchanged via the apadua platform in one place. This enables a wide range of analyses, such as benchmarks, cost structures, target prices and team compositions. The ProcureTech scaleup from Cologne, Germany is a trusted partner of global enterprise clients including ABB, AXA, Covestro, dormaka, and GEA.","Administrative Services, Information Technology, Internet Services, Other, Professional Services, Software",2,1-10,"Gregory N. Vider, Markus Sinz",1,Seed,2023-01-20,600000,USD,600000,Angel,600000,USD,600000,Angel,600000,USD,600000,600000,USD,600000,"Martina Pfeifer, Manuel Mueller, Michala Rudorfer, Christian Portz, Holger Felgner",,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
AutLay,https://www.crunchbase.com/organization/autlay,Active,,"Document Management, E-Commerce, Printing, SaaS, Software","Cologne, Nordrhein-Westfalen, Germany","AutLay offers online software as a service for print a catalogs, brochures & eCommerce.","537,015","European Union (EU), Europe, Middle East, and Africa (EMEA)",50667,,2017-01-01,year,,,,,For Profit,https://www.autlay.com/,https://twitter.com/autlay,https://www.facebook.com/AutLayGmbH,https://www.linkedin.com/company/autlay/,"AutLay offers online software as a service for print a catalog, brochures & eCommerce.","Commerce and Shopping, Content and Publishing, Information Technology, Media and Entertainment, Software",1,11-50,Sven Müller,2,Seed,2021-02-09,,,,Seed,,,,Seed,,,,,,,"Crew Ventures, Venture Creator",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
b.fab,https://www.crunchbase.com/organization/b-fab,Active,,"Biotechnology, Life Science, Sustainability","Köln, Nordrhein-Westfalen, Germany",B.fab specializes in the conversion of CO2 and hydrogen from renewable energy into biotechnological value chains.,"268,948","European Union (EU), Europe, Middle East, and Africa (EMEA)",51105,,2018-01-01,year,,,,,For Profit,http://www.bfab.bio/,,,https://www.linkedin.com/company/b-fab-gmbh,"B.fab specializes in the conversion of CO2 and hydrogen from renewable energy into biotechnological value chains. It utilizes formate as its central mediator to bind and store CO2 and H2 (made from water) in liquid form. The company's bioprocesses start with the feedstock formate and it uses synthetic biology to design specific pathways and to convert formate into value-added chemicals. The platform is built on anaerobic and aerobic microbial production hosts to provide flexibility in the process design and adaptation to specific product requirements. B.fab GmbH applies laboratory automation, high-throughput experimentation, and advanced bioprocess development in an agile environment to develop new bioprocesses efficiently and in a minimal time frame.  It was founded in 2018 in Dortmund, Nordrhein-Westfalen.","Biotechnology, Science and Engineering, Sustainability",1,1-10,Frank Kensy,2,Seed,2021-01-06,,,,Seed,,,,Seed,,,,,,,"German Federal Ministry of Education and Research, b.value AG",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Balance Re,https://www.crunchbase.com/organization/balance-re,Active,,"Financial Services, Insurance, InsurTech","Köln, Nordrhein-Westfalen, Germany",Balance Re is a life reinsurance company specializing in asset-liability and risk management.,"79,227","European Union (EU), Europe, Middle East, and Africa (EMEA)",50670,$1M to $10M,2017-01-01,year,,,,,For Profit,https://www.balance.re/,,,https://www.linkedin.com/company/balance-re/,Balance Re is the life reinsurance startup specialized in quantitative asset-liability management.,Financial Services,2,11-50,"Lucian Rautu, Michel Gauer",1,Early Stage Venture,2021-08-19,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,10000000,USD,10000000,10000000,USD,10000000,"Global Brain Corporation, Anthemis, Roland Berger, Talabot Finance",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
Banking One,https://www.crunchbase.com/organization/banking-one,Active,,"Banking, Big Data, Financial Services, FinTech, Insurance","Cologne, Nordrhein-Westfalen, Germany",Predictive Analytics for banks - we predict which customer is interested in what financial product.,"186,078","European Union (EU), Europe, Middle East, and Africa (EMEA)",50676,Less than $1M,2018-01-01,year,,,,,For Profit,https://b1ai.com,,https://www.facebook.com/bankingone.b1ai,,Banking One is able to predict which of retail banks customers are currently interested in financial products. Our product is used by sales managers in banks to filter out the most promising customers and distribute these customers to the sales agents. Resulting in higher earnings for the banks and happy customers since customers are contacted if there is a need and they will not be bothered for no reason.,"Data and Analytics, Financial Services, Lending and Investments",2,11-50,"Arne Horn, Felix Amrhein",1,Seed,2018-01-15,90000,EUR,110401,Pre-Seed,90000,EUR,110401,Pre-Seed,90000,EUR,110401,90000,EUR,110401,"NRW.BANK, Benedikt Kraus",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
