Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Tenity,https://www.crunchbase.com/organization/tenity,"Accelerator, Entrepreneurship Program, Incubator, Venture Capital",319,10,"Zürich, Zurich, Switzerland","Convertible Note, Early Stage Venture, Seed",Tenity is an innovation ecosystem and early-stage investor powering the future of finance.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.tenity.com,https://www.linkedin.com/company/tenity,309,289,1
Novartis Venture Fund,https://www.crunchbase.com/organization/novartis-venture-fund,"Corporate Venture Capital, Venture Capital",259,72,"Basel, Basel-Stadt, Switzerland","Early Stage Venture, Late Stage Venture, Post-Ipo, Seed",Novartis Venture Fund is a venture capital firm focused on companies that develop novel therapeutics and platforms.,"Europe, Middle East, and Africa (EMEA)",1996-01-01,year,http://www.nvfund.com,,147,71,34
HBM Healthcare Investments,https://www.crunchbase.com/organization/hbm-healthcare-investments-ag,Venture Capital,248,78,"Zug, Zug, Switzerland","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Venture","HBM Healthcare Investments finances companies related to human medicine, biotechnology, medical technology, and diagnostics sectors.","Europe, Middle East, and Africa (EMEA)",2001-07-12,day,http://www.hbmhealthcare.com,,135,47,56
Verve Ventures,https://www.crunchbase.com/organization/verve-ventures,Venture Capital,234,23,"Zug, Zug, Switzerland","Early Stage Venture, Late Stage Venture, Seed, Venture",Verve Ventures is a European startup investment platform for private and institutional investors.,"Europe, Middle East, and Africa (EMEA)",2010-01-01,day,http://verve.vc,https://www.linkedin.com/company/verveventures,158,36,1
SICTIC,https://www.crunchbase.com/organization/sictic,"Angel Group, Venture Capital",203,15,"Zürich, Zurich, Switzerland","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",Swiss ICT Investor Club (SICTIC) connects smart money investors to Swiss seed and early-stage tech startups.,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.sictic.ch/,https://www.linkedin.com/company/sictic/,151,41,
Lakestar,https://www.crunchbase.com/organization/lakestar,Venture Capital,188,27,"Zürich, Zurich, Switzerland","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",Lakestar is a venture capital firm investing in technology companies led by exceptional entrepreneurs.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.lakestar.com,http://www.linkedin.com/company/lakestar-lp,119,64,6
redalpine,https://www.crunchbase.com/organization/redalpine-venture-partners,Venture Capital,156,13,"Zürich, Zurich, Switzerland","Early Stage Venture, Late Stage Venture, Seed, Venture",redalpine is the Swiss venture capital firm investing in the frontiers of software & science across Europe.,"Europe, Middle East, and Africa (EMEA)",2006-01-01,year,http://www.redalpine.com,https://www.linkedin.com/company/redalpine/,79,59,
Swisscom Ventures,https://www.crunchbase.com/organization/swisscom-ventures,Venture Capital,139,40,"Zürich, Zurich, Switzerland","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","Swisscom Ventures is the corporate venture capital arm of Swisscom, that specializes in early stage tech investments.","Europe, Middle East, and Africa (EMEA)",2005-01-01,year,https://ventures.swisscom.com,https://www.linkedin.com/company/swisscom-ventures/,97,37,7
Seedstars,https://www.crunchbase.com/organization/seedstars,"Accelerator, Co-Working Space, Startup Competition, Venture Capital",131,7,"Geneva, Geneve, Switzerland","Convertible Note, Early Stage Venture, Grant, Seed, Venture",Impacting people’s lives in emerging & frontier markets through technology and entrepreneurship,"Europe, Middle East, and Africa (EMEA)",2012-09-01,day,https://www.seedstars.com/,https://www.linkedin.com/company/seedstars/,117,40,
Mountain Partners,https://www.crunchbase.com/organization/mountain-partners,"Fund Of Funds, Venture Capital",122,32,"Zürich, Zurich, Switzerland","Early Stage Venture, Seed, Venture",Mountain Partners is a globally operating company builder that invests in technology companies.,"Europe, Middle East, and Africa (EMEA)",2005-01-01,day,https://mountain.partners/,https://www.linkedin.com/company/mountain-partners-group,108,18,4
