Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - METR,https://www.crunchbase.com/funding_round/metr-seed--7a0e899b,METR,https://www.crunchbase.com/organization/metr,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-10-01,Seed,,,,Yes,"SaaS, Smart Building Solutions, incumbant residential buildings, IoT platform for technical building equipment","Infrastructure, Real Estate, SaaS, Smart Building, Software",,https://metr.systems,$1M to $10M,6000000,EUR,6544067,Early Stage Venture,2,,,,,"30,366"
Angel Round - brighter AI,https://www.crunchbase.com/funding_round/brighter-ai-technologies-angel--c8c1579a,brighter AI,https://www.crunchbase.com/organization/brighter-ai-technologies,Angel,"Berlin, Berlin, Germany, Europe",,,,2018-04-01,Seed,,,,Yes,Protect every identity in public.,"Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning, Privacy",,https://www.brighter.ai/?crunchbase=yes,,650000,EUR,780063,,6,,Thorsten Grenz,1,,"35,348"
Series C - LIQID Investments,https://www.crunchbase.com/funding_round/liqid-investments-series-c--4dd08a7c,LIQID Investments,https://www.crunchbase.com/organization/liqid-investments,Series C,"Berlin, Berlin, Germany, Europe",33000000,EUR,38818962,2018-09-25,Late Stage Venture,,,,Yes,LIQID Investments is a financial company that offers digital wealth management services.,"Financial Services, FinTech, Wealth Management",,https://www.liqid.de,$10M to $50M,164900000,EUR,190526177,Late Stage Venture,6,Toscafund Asset Management,"Berliner Volksbank Ventures, DvH Ventures, HQ Trust, Project A Ventures, Toscafund Asset Management",5,4,"60,522"
Seed Round - Remind.me,https://www.crunchbase.com/funding_round/remind-me-seed--a0e2e377,Remind.me,https://www.crunchbase.com/organization/remind-me,Seed,"Berlin, Berlin, Germany, Europe",1000000,EUR,1162650,2018-05-28,Seed,,,,Yes,Remind.me provides reminder service around notice periods.,"E-Commerce, Information Technology, Internet, Lifestyle",,https://www.remind.me/,$1M to $10M,6900000,EUR,8057744,Early Stage Venture,4,HTGF | High-Tech Gruenderfonds,HTGF | High-Tech Gruenderfonds,1,1,"79,494"
Series B - Frontier Car Group,https://www.crunchbase.com/funding_round/frontier-cars-group-series-b--3deb262a,Frontier Car Group,https://www.crunchbase.com/organization/frontier-cars-group,Series B,"Berlin, Berlin, Germany, Europe",41000000,USD,41000000,2018-03-29,Early Stage Venture,,,,Yes,"Frontier Car Group develops, launches, and operates used-automotive marketplaces within emerging market economies.","Automotive, Internet, Marketplace, Transportation",,http://www.frontiercargroup.com/,$1M to $10M,569000000,USD,569000000,Late Stage Venture,7,"Balderton Capital, TPG Growth","Autotech Ventures, Balderton Capital, Concentric, EchoVC Partners, FM Capital, Golden Palm Investments, Manta Ray Ventures, Perpetual Investors, TPG Growth, VentureSouq",10,5,"80,996"
Pre Seed Round - StarBerry Games,https://www.crunchbase.com/funding_round/chatterbox-games-pre-seed--3345e91b,StarBerry Games,https://www.crunchbase.com/organization/chatterbox-games,Pre-Seed,"Berlin, Berlin, Germany, Europe",325000,EUR,405218,2018-02-14,Seed,,,,Yes,StarBerry Games is a mobile game developer and publisher of crafting outstanding games.,"Casual Games, Gaming, Video Games",,http://www.starberry.games,$100M to $500M,1425000,EUR,1598283,Seed,2,Anton Gauffin,"Alex Arias, Anton Gauffin, Gordon Thompson, Harri Manninen, Reaktor Ventures",5,,"90,773"
Pre Seed Round - Evercity,https://www.crunchbase.com/funding_round/evercity-pre-seed--62381807,Evercity,https://www.crunchbase.com/organization/evercity,Pre-Seed,"Berlin, Berlin, Germany, Europe",500000,USD,500000,2018-06-20,Seed,2000000,USD,2000000,Yes,Digital platform for impact measurement & investment. Techstars + ABN AMRO Future of Finance Accelerator alumni.,"Blockchain, CleanTech, Financial Services, FinTech, Impact Investing, Sustainability",,https://evercity.io/,,640000,USD,640000,Seed,4,,,,,"94,553"
Series A - Smart Host GmbH,https://www.crunchbase.com/funding_round/smart-host-gmbh-series-a--fe805a47,Smart Host GmbH,https://www.crunchbase.com/organization/smart-host-gmbh,Series A,"Berlin, Berlin, Germany, Europe",,,,2018-12-04,Early Stage Venture,,,,Yes,CRM & guest-management software for hotels with character.,"CRM, Hospitality, Hotel, SaaS, Software",,https://www.smart-host.com/,$10M to $50M,,,,Early Stage Venture,4,Venture Stars,"Atlantic Labs, IBB Ventures, Venture Stars",3,,"96,118"
Pre Seed Round - Advanced Blockchain,https://www.crunchbase.com/funding_round/advanced-blockchain-pre-seed--374b33ec,Advanced Blockchain,https://www.crunchbase.com/organization/advanced-blockchain,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,We invest in early stage companies and help them grow by providing technical and operational resources to support them.,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Finance, Information Technology, Internet, Software, Venture Capital",,https://www.advancedblockchain.com,$1M to $10M,,,,Early Stage Venture,4,,,,,"98,008"
Corporate Round - Heycar,https://www.crunchbase.com/funding_round/heycar-corporate-round--ae5afc9a,Heycar,https://www.crunchbase.com/organization/heycar,Corporate Round,"Berlin, Berlin, Germany, Europe",,,,2018-09-13,,,,,Yes,Heycar is a used car marketplace.,"Automotive, E-Commerce, Marketplace",,https://hey.car/,$10M to $50M,,,,,2,Mercedes-Benz Group AG,Mercedes-Benz Group AG,1,,"134,301"
