Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
25friends,https://www.crunchbase.com/organization/25friends,Active,,"Apps, Event Promotion, Mobile Apps","Hamburg, Hamburg, Germany",25friends ia an app to find friends and suggests events in the city.,"155,415","European Union (EU), Europe, Middle East, and Africa (EMEA)",22607,,2016-05-01,month,,,,,For Profit,https://25friends.de/,https://twitter.com/25friendsapp,,https://www.linkedin.com/company/25friends-/,25friends ia an app to find friends and suggests events in the city.,"Apps, Events, Media and Entertainment, Mobile, Software",2,1-10,"Florian Frese, Ramin Ataei",1,Seed,2017-05-15,300000,EUR,329403,Seed,300000,EUR,329403,Seed,300000,EUR,329403,300000,EUR,329403,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Adtriba,https://www.crunchbase.com/organization/adtriba,Active,,"Analytics, Artificial Intelligence (AI), Digital Marketing, Machine Learning, SaaS, Software","Hamburg, Hamburg, Germany","Adtriba is a simple, cross-channel digital marketing management platform based on data-driven attribution modelling.","41,729","European Union (EU), Europe, Middle East, and Africa (EMEA)",20253,$1M to $10M,2015-11-17,day,2024-06-26,day,,,For Profit,https://www.adtriba.com/,https://www.twitter.com/adtriba,https://www.facebook.com/adtriba/,https://www.linkedin.com/company/adtriba,"Adtriba allows businesses to track, control and optimize their customer’s journeys, offsite and onsite, through AI and user journey analysis.  Adtriba integrates user journey data across all channels - including TV ads and offline marketing campaigns - and applies machine learning to all user journey events. The results are optimization suggestions and actionable insights, allowing for cross-channel optimization of marketing ROI.","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",2,11-50,"Janos Moldvay, Ludwig Ostrowski",3,M&A,2021-04-06,4000000,EUR,4749562,Venture - Series Unknown,4000000,EUR,4749562,Venture - Series Unknown,4650000,EUR,5472369,4650000,EUR,5472369,"HTGF | High-Tech Gruenderfonds, seed + speed Ventures, IFB Innovationsstarter, Next Media Accelerator, Carsten Maschmeyer",2,9,,Was Acquired,Adtriba acquired by Funnel,https://www.crunchbase.com/acquisition/funnel-operations-acquires-adtriba--5ce78821,Funnel,https://www.crunchbase.com/organization/funnel-operations,2024-06-26,day,,,,Acquisition,,Private,,,,,,,,,,,1
Aeditive,https://www.crunchbase.com/organization/aeditive,Active,,"3D Printing, Industrial Manufacturing, Manufacturing, Mechanical Engineering","Hamburg, Hamburg, Germany",Revolutionary efficiency in concrete construction; 3D printing solutions for mouldless precast manufacturing,"65,360","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2019-01-01,year,,,,,For Profit,https://www.aeditive.de/en,,,https://www.linkedin.com/company/aeditive/,"Construction, Concrete 3D Printing, Automation, Robotics, Digital Concrete","Manufacturing, Science and Engineering",4,11-50,"Alex Tuerk, Hendrik Lindemann, Niklas Nolte, Roman Gerbers",3,Seed,2021-10-14,1500000,EUR,1738560,Seed,1500000,EUR,1738560,Seed,7500000,EUR,9042122,7500000,EUR,9042122,"Atlantic Labs, BitStone Capital, Young Sohn, Sebastian Pollok, Marc Stilke",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
ahead® | The Human Performance Company,https://www.crunchbase.com/organization/ahead-8dce,Active,,"Dietary Supplements, Food and Beverage, Health Care, Nutraceutical, Wellness","Hamburg, Hamburg, Germany",Performance Nutrition for Body and Mind,"897,257","European Union (EU), Europe, Middle East, and Africa (EMEA)",22335,$1M to $10M,2017-06-01,month,,,,,For Profit,https://www.ahead-nutrition.com,https://twitter.com/ahead_nutrition,https://www.facebook.com/pg/aheadDE,https://www.linkedin.com/company/ahead-nutrition/about/,ahead is a Germany-based DTC food tech company that develops evidence-based supplements and food products combined with a digital coaching approach aiming to improve the mental and physical health and performance of their customers.,"Food and Beverage, Health Care",1,11-50,Johannes Soerensen,2,Seed,2020-10-07,,,,Seed,,,,Seed,,,,,,,"Döhler Ventures, FoodLabs",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
airfocus,https://www.crunchbase.com/organization/airfocus,Active,,"Internet, Product Management, SaaS, Software","Hamburg, Hamburg, Germany",airfocus is a modular product management software.,"13,199","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2017-01-01,year,,,,,For Profit,https://airfocus.com,https://www.twitter.com/airfocus,https://www.facebook.com/airfocus,https://www.linkedin.com/company/airfocus,"Founded in 2018, airfocus offers a modern and modular product management platform that helps teams manage and communicate their strategy, prioritize their work, build roadmaps and connect feedback to solve the right problems.  Thousands of companies worldwide, including Shopify, IBM, The Washington Post, and more, now use the cloud-based software to make more informed product decisions and build lean roadmaps to easily align teams with company goals. airfocus is backed by pan-European VCs Nauta Capital and XAnge. The company is headquartered in Hamburg with employees distributed across the world. Learn more at airfocus.com.","Internet Services, Other, Software",3,11-50,"Christian Hoffmeister, Malte Scholz, Valentin Firak",4,Early Stage Venture,2024-01-10,7500000,USD,7500000,Series B,7500000,USD,7500000,Series B,14887436,USD,14887436,14887436,USD,14887436,"XAnge, Riverside Acceleration Capital, Newion, Nauta Capital, Picea Capital",4,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
ANNEA,https://www.crunchbase.com/organization/annea-ai-gmbh,Active,,"Artificial Intelligence (AI), Energy, Hydroelectric, Machine Learning, Predictive Analytics, Renewable Energy, SaaS, Software, Solar, Wind Energy","Hamburg, Hamburg, Germany",Predictive Maintenance and Asset Performance Management Platform,"33,642","European Union (EU), Europe, Middle East, and Africa (EMEA)",22767,$1M to $10M,2019-08-23,day,,,,,For Profit,https://www.annea.ai,,,https://www.linkedin.com/company/annea-ai,"ANNEA is a module-based software platform designed for predictive maintenance and enhancing performance of renewable energy assets like wind turbines, solar farms, and hydroelectric plants. It uses various modules to analyze performance and predict when these assets might need maintenance before any failures occur. This proactive approach ensures that these energy sources operate at peak efficiency, reducing downtime and extending their lifespan, thereby supporting sustainable energy production.","Artificial Intelligence (AI), Data and Analytics, Energy, Natural Resources, Science and Engineering, Software, Sustainability",3,11-50,"Maik Reder, Marcel Frenzel, Pau Martinon Sort",2,Seed,2023-12-14,2750000,EUR,3023171,Seed,2750000,EUR,3023171,Seed,3750000,EUR,4070509,3750000,EUR,4070509,"Voyager Ventures, Faber, Innoport",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
apoQlar,https://www.crunchbase.com/organization/apoqlar,Active,,"Health Care, Medical, Medical Device, Software","Hamburg, Hamburg, Germany",Powering the Future of Surgical Care & Medical Education with Mixed Reality.,"32,473","European Union (EU), Europe, Middle East, and Africa (EMEA)",20095,$1M to $10M,2017-09-01,month,,,,,For Profit,https://apoqlar.com/,https://twitter.com/apoqlar?lang=en,https://www.facebook.com/apoQlar/,https://www.linkedin.com/company/apoqlar/,"apoQlar is the developer of a medical mixed reality platform that is revolutionizing how medicine is practiced, experienced, learned, and shared globally. VSI HoloMedicine® is a medically certified software platform that leverages the Microsoft HoloLens hardware to transform medical images, clinical workflows, and medical education into an interactive 3D mixed reality environment. Improve patient outcomes, augment the clinical experience for physicians, and educate the doctors-of-tomorrow on VSI HoloMedicine®.","Health Care, Software",3,51-100,"Lukasz Radomski, Marc-Angelo Bisotti, Sirko Pelzl",2,Early Stage Venture,2024-05-05,10000000,EUR,10758403,Series A,10000000,EUR,10758403,Series A,10000000,EUR,10758403,10000000,EUR,10758403,"YZR Capital, IFB Innovationsstarter",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,1
AppLike,https://www.crunchbase.com/organization/applike,Active,,"Advertising, App Marketing, Marketing, Mobile Advertising","Hamburg, Hamburg, Germany","AppLike develops apps for all mobile devices and provides mobile advertising, app recommendation, and innovative B2B solutions.","14,890","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2015-01-01,year,,,,,For Profit,https://applike-group.com,https://twitter.com/applike,https://www.facebook.com/AppLikeCorporate,https://www.linkedin.com/company/applike-gmbh,"AppLike develops apps for all mobile devices and provides mobile advertising, app recommendation, and innovative B2B solutions. The company was founded in 2015 and is headquartered in Hamburg, Germany.","Advertising, Sales and Marketing",2,51-100,"Carlo Szelinsky, Jonas Thiemann",1,,2022-04-28,100000000,EUR,105036500,Venture - Series Unknown,100000000,EUR,105036500,Venture - Series Unknown,100000000,EUR,105036500,100000000,EUR,105036500,Bertelsmann Investments,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
ARTMO,https://www.crunchbase.com/organization/artmo,Active,,"Art, Communities, E-Commerce, Internet, Marketplace, Online Portals, Social Media, Social Network","Hamburg, Hamburg, Germany",Online Platform | Art Network & Marketplace,"74,695","European Union (EU), Europe, Middle East, and Africa (EMEA)",20149,$100M to $500M,2017-09-06,day,,,,,For Profit,https://artmo.com/,https://twitter.com/ARTMO_,https://www.facebook.com/ARTMO.Pty.Ltd/,https://www.linkedin.com/company/artmo/,"SOCIAL ART PLATFORM & Marketplace Imagine a LinkedIn-like platform for the art world with all the components you expect from a (social) network,*  with plenty of entertaining and educational content,  with a commission-free marketplace for all 3 artwork-types (physical, digital and NFT artworks)*  and that is open to everyone (artists, members, galleries, museums, companies, universities)** * First Mover            ** Disrupter Tag: A social-art-network with the world’s first direct- and secondary marketplace for art. Served in Germany.","Commerce and Shopping, Community and Lifestyle, Internet Services, Media and Entertainment",3,11-50,"Klaus Rasche, Konrad Krawczyk, Nick Laursen",3,Seed,2022-12-01,250000,EUR,263188,Seed,250000,EUR,263188,Seed,1350000,EUR,1501455,1350000,EUR,1501455,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
asap.industries,https://www.crunchbase.com/organization/asap-industries-gmbh,Active,,"B2B, Database, Freelance, Human Resources, Information Services, Information Technology, Management Information Systems, SaaS, Software","Hamburg, Hamburg, Germany",Search & Management SaaS  for companies working with freelancers.,"426,401","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2017-07-01,month,2018-06-29,day,,,For Profit,http://www.asap.industries,https://twitter.com/asapishere,https://www.facebook.com/asapishere,https://www.linkedin.com/company/18205963/,asapOS ist a company-internal process optimizing software to manage and book freelancers in a fast and easy way. Intelligent logarithm ensures highest quality of database with a match-making process that meets the agencies' need.,"Administrative Services, Data and Analytics, Information Technology, Other, Professional Services, Software",3,1-10,"Alina Latus, Andre Hennen, Stefan Knop",1,M&A,2017-08-11,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Next Media Accelerator,1,1,,Was Acquired,asap.industries acquired by XING,https://www.crunchbase.com/acquisition/xing-acquires-asap-industries-gmbh--bbcb16e4,XING,https://www.crunchbase.com/organization/xing,2018-06-29,day,,,,Acquisition,,Private,,,,,,,,,,,
