Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Venture Kick,https://www.crunchbase.com/organization/venturekick,Incubator,"1,352",68,"Schlieren, Zurich, Switzerland","Convertible Note, Debt, Early Stage Venture, Grant, Non Equity Assistance, Seed","Venture Kick is a private, philanthropic initiative that provides pre-seed funding to entrepreneurs from Swiss universities.","Europe, Middle East, and Africa (EMEA)",2007-09-01,day,http://www.venturekick.ch,https://www.linkedin.com/company/venture-kick/,823,"1,259",3
Tenity,https://www.crunchbase.com/organization/tenity,"Accelerator, Entrepreneurship Program, Incubator, Venture Capital",319,10,"Zürich, Zurich, Switzerland","Convertible Note, Early Stage Venture, Seed",Tenity is an innovation ecosystem and early-stage investor powering the future of finance.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.tenity.com,https://www.linkedin.com/company/tenity,309,289,1
Foundation for Innovation and Technology (FIT),https://www.crunchbase.com/organization/foundation-pour-l-innovation-technologique,"Entrepreneurship Program, Government Office",299,31,"Lausanne, Vaud, Switzerland","Early Stage Venture, Seed",The Foundation for Innovation and Technology (FIT) has been helping Swiss startups since 1994.,"Europe, Middle East, and Africa (EMEA)",1994-10-11,day,https://fondation-fit.ch/en/who-is-fit/,https://www.linkedin.com/company/2298967,251,287,3
MassChallenge Switzerland,https://www.crunchbase.com/organization/masschallenge-switzerland,Accelerator,215,2,"Renens, Vaud, Switzerland",Early Stage Venture,MassChallenge Switzerland is a startup accelerator that connects startups with the experts and resources they need to grow.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://masschallenge.org/programs-switzerland,https://www.linkedin.com/company/masschallenge-switzerland,214,207,
SICTIC,https://www.crunchbase.com/organization/sictic,"Angel Group, Venture Capital",203,15,"Zürich, Zurich, Switzerland","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",Swiss ICT Investor Club (SICTIC) connects smart money investors to Swiss seed and early-stage tech startups.,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.sictic.ch/,https://www.linkedin.com/company/sictic/,151,41,
GoBeyond,https://www.crunchbase.com/organization/go-beyond,Angel Group,173,10,"Zürich, Zurich, Switzerland","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",GoBeyond enables individuals to access angel investing as an asset class.,"Europe, Middle East, and Africa (EMEA)",2008-01-01,year,https://www.gobeyondinvesting.com/,https://www.linkedin.com/company/go-beyond,83,7,
Seedstars,https://www.crunchbase.com/organization/seedstars,"Accelerator, Co-Working Space, Startup Competition, Venture Capital",131,8,"Geneva, Geneve, Switzerland","Convertible Note, Early Stage Venture, Grant, Seed, Venture",Impacting people’s lives in emerging & frontier markets through technology and entrepreneurship,"Europe, Middle East, and Africa (EMEA)",2012-09-01,day,https://www.seedstars.com/,https://www.linkedin.com/company/seedstars/,117,40,
FastTrackTech,https://www.crunchbase.com/organization/fasttracktech,"Accelerator, Entrepreneurship Program",105,2,"Geneva, Geneve, Switzerland",Non Equity Assistance,The #FastTrackTech Africa initiative aims to support digital entrepreneurs and tech startups in sub-Saharan Africa go international.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,http://www.intracen.org/e-Trade-for-Impact/Fast-Tracking-Digital-Entrepreneurship-in-Africa/,,104,,
Polytech Ventures,https://www.crunchbase.com/organization/polytech-ecosystem-venture,Micro VC,44,13,"Lausanne, Vaud, Switzerland","Early Stage Venture, Seed",Polytech Venture is a VC investing in early stage software companies aiming at creating a bridge between Switzerland and the US.,"Europe, Middle East, and Africa (EMEA)",2008-01-01,year,https://polytechecosystem.vc,https://www.linkedin.com/company/polytechecosystem-ventures,36,10,
3wVentures,https://www.crunchbase.com/organization/3wventures-com,Micro VC,42,8,"Herisau, Ausser-Rhoden, Switzerland","Early Stage Venture, Seed",3wVentures is a Swiss investment company that provides seed- and early-stage venture capital for international businesses.,"Europe, Middle East, and Africa (EMEA)",2007-01-01,year,http://www.3wventures.com,https://www.linkedin.com/company/3wventures/,39,1,1
BlueOrchard Finance S A,https://www.crunchbase.com/organization/blueorchard-finance-s-a,"Private Equity Firm, Venture Debt",40,5,"Geneva, Geneve, Switzerland","Debt, Private Equity",BlueOrchard Finance is a impact investment manager.,"Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.blueorchard.com,https://www.linkedin.com/company/blueorchard-finance-sa,28,31,4
FONGIT,https://www.crunchbase.com/organization/fongit,Incubator,40,,"Geneva, Geneve, Switzerland",Early Stage Venture,"FONGIT is a startup incubator that supports high-tech ventures based in Geneva, Switzerland.","Europe, Middle East, and Africa (EMEA)",1991-01-01,year,http://www.fongit.ch/,https://www.linkedin.com/company/fongit/,37,23,
FONGIT Innovation Fund,https://www.crunchbase.com/organization/fongit-innovation-fund,Incubator,35,,"Geneva, Geneve, Switzerland","Debt, Grant, Seed",FONGIT Innovation Fund is a financing tool resulting from the collaboration between FONGIT and the State of Geneva.,"Europe, Middle East, and Africa (EMEA)",2021-02-01,month,https://www.fongit.ch/financing,https://www.linkedin.com/company/fongit,32,34,
Virtual Network,https://www.crunchbase.com/organization/virtual-network-sa,"Incubator, Private Equity Firm, Venture Capital",31,10,"Geneva, Geneve, Switzerland","Convertible Note, Early Stage Venture, Secondary Market, Seed",Virtual Network is a private company investing in digital assets & founders since 1997.,"Europe, Middle East, and Africa (EMEA)",1997-01-01,year,https://www.virtual-network.com/,https://www.linkedin.com/company/virtual-network-sa/?originalSubdomain=in,30,4,1
InnoBooster,https://www.crunchbase.com/organization/innobooster,Accelerator,29,,"Basel, Basel-Stadt, Switzerland",Grant,"InnoBooster aims at speeding up innovative, science-based deep tech businesses which have already entered the Venture Kick process.","Europe, Middle East, and Africa (EMEA)",1998-01-01,year,https://www.grstiftung.ch/de/handlungsfelder/innobooster.html,https://www.linkedin.com/company/grstiftung,29,28,
NIVALIS Group,https://www.crunchbase.com/organization/nivalis-group,"Co-Working Space, Incubator, Micro VC, Private Equity Firm",29,5,"Villaz-saint-pierre, Fribourg, Switzerland","Early Stage Venture, Seed","Accompanies and invests in high-tech startups that specialize in automation, robotics, additive manufacturing and artificial intelligence","Europe, Middle East, and Africa (EMEA)",2002-01-31,day,https://www.nivalisgroup.ch/,https://www.linkedin.com/company/nivalis-group/,18,21,
Lakeside Invest & Consult,https://www.crunchbase.com/organization/lakeside-invest-consult-9909,"Angel Group, Venture Capital",29,1,"Kreuzlingen, Thurgau, Switzerland","Early Stage Venture, Seed, Venture",Lakeside Invest & Consult is angel investment & consulting firm offering seed & growth funding for promising seed & early-stage startups,"Europe, Middle East, and Africa (EMEA)",2015-01-22,day,https://lakesideinvest.com/,https://www.linkedin.com/company/lakesideinvest/,24,5,
IMD Startup Competition,https://www.crunchbase.com/organization/imd-startup-competition,Startup Competition,28,,"Lausanne, Vaud, Switzerland","Grant, Non Equity Assistance, Seed",IMD Startup Competition offers early-stage companies to build their business models.,"Europe, Middle East, and Africa (EMEA)",1998-01-01,year,https://www.imd.org/imd-startup-competition/startup-competition,https://www.linkedin.com/company/imd-business-school,28,28,
StartAngels Network,https://www.crunchbase.com/organization/startangels-network,Angel Group,28,4,"Zürich, Zurich, Switzerland",Late Stage Venture,StartAngels Network is a Zurich-based angel investment firm that provides investment consulting services.,"Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.startangels.ch,https://www.linkedin.com/company/startangels-network/,21,7,
Quadia,https://www.crunchbase.com/organization/quadia,"Venture Capital, Venture Debt",27,4,"Geneva, Geneve, Switzerland","Debt, Early Stage Venture, Seed, Venture",Quadia is a regulated investment manager specialized in social and environmental finance.,"Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://quadia.ch/,https://www.linkedin.com/company/quadia-sa/,21,4,
>>venture>>,https://www.crunchbase.com/organization/venture-1934,Startup Competition,24,,"Zürich, Zurich, Switzerland","Grant, Seed",>>venture>> is Switzerland's leading startup competition,"Europe, Middle East, and Africa (EMEA)",1997-01-01,year,https://www.venture.ch/,https://www.linkedin.com/company/venture-companies-for-tomorrow/,24,21,
Future of Health Grant,https://www.crunchbase.com/organization/future-of-health-grant,Accelerator,23,,"Lausanne, Vaud, Switzerland",Grant,Future of Health Grant supports the digital health startups.,"Europe, Middle East, and Africa (EMEA)",2022-01-01,year,http://future-of-health.org/,https://www.linkedin.com/showcase/future-of-health-grant/about/,20,21,
Impact51,https://www.crunchbase.com/organization/impact51,"Angel Group, Micro VC, Syndicate",18,5,"Kusnacht, Zurich, Switzerland","Early Stage Venture, Seed","We are a business angel partnership of like-minded, friends and senior executives who invest with passion, personal cash and expertise.","Europe, Middle East, and Africa (EMEA)",2014-01-01,day,http://www.impact51.com/,https://www.linkedin.com/company/impact51,17,,
The Hashgraph Association,https://www.crunchbase.com/organization/the-hashgraph-association,Accelerator,17,1,"Pfaffikon, Zurich, Switzerland",Grant,The Hashgraph Association is an independent non-profit organization focused on building a vibrant innovative ecosystem for startups.,"Europe, Middle East, and Africa (EMEA)",2022-01-01,year,https://hashgraph-association.com,https://www.linkedin.com/company/the-hashgraph-association/,16,17,1
Polar Light Ventures,https://www.crunchbase.com/organization/polar-light-ventures-ltd,"Micro VC, Venture Capital",17,2,"Zug, Zug, Switzerland","Early Stage Venture, Seed",Principal Investment Company focusing on early stage technology ventures.,"Europe, Middle East, and Africa (EMEA)",2016-06-01,day,https://polarlightventures.com/,https://www.linkedin.com/company/polarlightventures,14,,1
Federal Polytechnic School of Lausanne,https://www.crunchbase.com/organization/epfl,University Program,16,,"Lausanne, Vaud, Switzerland",,"EPFL is a cosmopolitan technical university in Europe with students, professors, and staff from over 120 nations.","Europe, Middle East, and Africa (EMEA)",1969-01-01,year,http://www.epfl.ch,https://www.linkedin.com/company/epfl,15,8,
