Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Speedinvest,https://www.crunchbase.com/organization/speedinvest,Venture Capital,495,42,"Vienna, Wien, Austria","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","Speedinvest is a venture capital fund investing in pre-seed, seed, and early-stage tech startups.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-06-01,day,http://speedinvest.com,https://www.linkedin.com/company/speedinvest,295,190,
Calm/Storm Ventures,https://www.crunchbase.com/organization/calm-storm-ventures,"Micro VC, Venture Capital",92,2,"Vienna, Wien, Austria","Convertible Note, Early Stage Venture, Seed, Venture",Calm/Storm is the most prominent super-early-stage digital health fund in Europe with a focus on femtech & tabootech and female founders.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://www.calmstorm.vc,https://www.linkedin.com/company/calmstorm,79,8,
aws Gründungsfonds,https://www.crunchbase.com/organization/aws-grnderfonds,Venture Capital,76,9,"Vienna, Wien, Austria","Early Stage Venture, Late Stage Venture, Seed, Venture","Austrian venture capital fund, investing in Austrian high-growth start-ups in their later seed/(pre-)series-A stages","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,day,http://www.gruenderfonds.at,https://www.linkedin.com/company/7213413/,48,7,
The Austrian Research Promotion Agency (FFG),https://www.crunchbase.com/organization/theaustrian-researchpromotion-agency-ffg,"Government Office, Venture Capital",58,2,"Vienna, Wien, Austria",Grant,The Austrian Research Promotion Agency (FFG) is the national funding institution for applied research and development in Austria.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2004-09-01,day,https://www.ffg.at,https://www.linkedin.com/company/ffg,47,15,1
tecnet equity,https://www.crunchbase.com/organization/tecnet-equity,Venture Capital,58,8,"Sankt Polten, Niederosterreich, Austria",Early Stage Venture,tecnet equity is an Austrian venture capital fund investing in innovative high-tech companies with potential for significant growth.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-01-01,year,https://www.tecnet.at/,https://www.linkedin.com/company/2453527,24,19,
Accession Capital Partners,https://www.crunchbase.com/organization/mezzanine-managements,Venture Capital,56,24,"Vienna, Wien, Austria",,"Accession Capital Partners is a pioneering, independent investment advisory firm, with a focus on Central and Eastern Europe.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.mezzmanagement.com/,https://www.linkedin.com/company/mezzanine-management,55,20,2
APEX Ventures,https://www.crunchbase.com/organization/apex-ventures-2,Venture Capital,53,1,"Vienna, Wien, Austria","Early Stage Venture, Seed, Venture",APEX Ventures is a deep-tech and medical-focused venture capital firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://www.apex.ventures,https://www.linkedin.com/company/apex-vc/,35,17,
eQventure,https://www.crunchbase.com/organization/eqventure,"Angel Group, Venture Capital",51,4,"Graz, Steiermark, Austria","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",eQventure offers hard & smart capital for Austrian growth companies,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.eqventure.com/,https://www.linkedin.com/company/eqventure/,20,38,
AirAngels,https://www.crunchbase.com/organization/airangels,Venture Capital,37,1,"Vienna, Wien, Austria","Convertible Note, Early Stage Venture, Initial Coin Offering, Seed",AirAngels provides investment services.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,http://airangels.co/,https://www.linkedin.com/company/airangels/,31,1,
UNIQA Ventures,https://www.crunchbase.com/organization/uniqa-ventures,"Corporate Venture Capital, Venture Capital",36,7,"Vienna, Wien, Austria","Convertible Note, Early Stage Venture, Late Stage Venture, Venture","is an European Venture Capital firm investing in the future of Health, Mobility, Smart Home and Fintech as well as enabling technologies.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-08-01,day,http://www.uniqaventures.com,https://www.linkedin.com/company/uniqa-ventures-gmbh/,27,11,
PUSH VC,https://www.crunchbase.com/organization/push-ventures,Venture Capital,31,4,"Vienna, Wien, Austria","Early Stage Venture, Seed, Venture",Early-stage VC. Pre-Seed and Seed stage. We are investing in Health- & Green Tech start-ups with singificant impact and outstanding teams.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,month,https://www.push.vc,https://www.linkedin.com/company/17963492/,23,5,
3VC,https://www.crunchbase.com/organization/3vc,Venture Capital,29,4,"Vienna, Wien, Austria","Convertible Note, Early Stage Venture, Late Stage Venture, Venture",We believe in entrepreneurs with big ideas and the determination to drive humanity forward.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.three.vc/,https://www.linkedin.com/company/18085323/,19,11,
Round2 Capital Partners,https://www.crunchbase.com/organization/round2-capital-partners,"Venture Capital, Venture Debt",28,3,"Vienna, Wien, Austria","Debt, Early Stage Venture, Late Stage Venture, Venture",Round2 Capital Partners provides non-dilutive growth debt to fast growing tech companies in DACH and Nordics regions.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://www.round2cap.com,https://www.linkedin.com/company/round2-capital-partners/,24,27,
CNB Capital,https://www.crunchbase.com/organization/constantia-industries,Venture Capital,28,,"Vienna, Wien, Austria","Early Stage Venture, Seed","CNB Capital is an evergreen, deep-tech focused early-stage VC investor with a pan-European scope and headquartered in Vienna.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://www.cnb.capital/,https://www.linkedin.com/company/constantia-new-business,18,8,
