Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - &Charge,https://www.crunchbase.com/funding_round/charge-gmbh-seed--0dca6498,&Charge,https://www.crunchbase.com/organization/charge-gmbh,Seed,"Frankfurt, Hessen, Germany, Europe",,,,2021-11-09,Seed,,,,Yes,&Charge is the only European platform combining smart user engagement with value-added services around EV charging,"Advertising Platforms, Automotive, Big Data, Guides, Information Technology, Mobile Advertising, Private Social Networking, Transportation",,https://and-charge.com/#/,$1M to $10M,,,,Seed,1,Helen Ventures,2,1,"Helen Ventures, Porsche Ventures","105,369"
Venture Round - 360X,https://www.crunchbase.com/funding_round/360x-series-unknown--40be17d9,360X,https://www.crunchbase.com/organization/360x,Venture - Series Unknown,"Frankfurt, Hessen, Germany, Europe",10000000,EUR,12125621,2021-04-29,,,,,Yes,360X is building a transaction marketplace for trading art and real estate investments.,"Financial Services, Marketplace",,https://www.360x.com/,$1M to $10M,10000000,EUR,12125621,,1,"CommerzVentures, Deutsche Borse",2,1,"CommerzVentures, Deutsche Borse","87,152"
Seed Round - Admetrics,https://www.crunchbase.com/funding_round/admetrics-seed--aec4b132,Admetrics,https://www.crunchbase.com/organization/admetrics,Seed,"Frankfurt, Hessen, Germany, Europe",250000,USD,250000,2022-12-30,Seed,,,,Yes,Admetrics is the first unified analytics solution with integrated experimentation engine and AI-based marketing assistant.,"Advertising, Analytics, Information Technology, Software",,https://www.admetrics.io,,250000,USD,250000,Seed,2,,1,,Newchip Accelerator,"126,683"
Angel Round - Admetrics,https://www.crunchbase.com/funding_round/admetrics-angel--b040aed5,Admetrics,https://www.crunchbase.com/organization/admetrics,Angel,"Frankfurt, Hessen, Germany, Europe",,,,2023-09-22,Seed,,,,Yes,Admetrics is the first unified analytics solution with integrated experimentation engine and AI-based marketing assistant.,"Advertising, Analytics, Information Technology, Software",,https://www.admetrics.io,,250000,USD,250000,Seed,2,,3,,"Hannibal Soares, Jens Wasel, Toni Hilti","332,723"
Series A - Aescuvest,https://www.crunchbase.com/funding_round/aescuvest-series-a--968e2258,Aescuvest,https://www.crunchbase.com/organization/aescuvest,Series A,"Frankfurt, Hessen, Germany, Europe",3000000,EUR,3339749,2019-10-23,Early Stage Venture,,,,Yes,"Leading, healthcare dedicated FinTech company. Pan-European deal-by-deal platform.","Financial Services, Health Care, Venture Capital",,https://aescuvest.eu/,,5800000,EUR,6539401,,4,,4,,"BM H Beteiligungs-Managementgesellschaft Hessen, Michael Beckert, Nanz medico, Thomas Wiederspahn","298,068"
Venture Round - Aescuvest,https://www.crunchbase.com/funding_round/aescuvest-series-unknown--2633d3c9,Aescuvest,https://www.crunchbase.com/organization/aescuvest,Venture - Series Unknown,"Frankfurt, Hessen, Germany, Europe",800000,EUR,931344,2020-11-01,,,,,Yes,"Leading, healthcare dedicated FinTech company. Pan-European deal-by-deal platform.","Financial Services, Health Care, Venture Capital",,https://aescuvest.eu/,,5800000,EUR,6539401,,4,,4,,"Hessen Kapital I, Michael Beckert, Mutschler Ventures AG, Nanz medico","321,011"
Venture Round - Aescuvest,https://www.crunchbase.com/funding_round/aescuvest-series-unknown--08aff48c,Aescuvest,https://www.crunchbase.com/organization/aescuvest,Venture - Series Unknown,"Frankfurt, Hessen, Germany, Europe",500000,EUR,590559,2017-08-01,,,,,Yes,"Leading, healthcare dedicated FinTech company. Pan-European deal-by-deal platform.","Financial Services, Health Care, Venture Capital",,https://aescuvest.eu/,,5800000,EUR,6539401,,4,,,,,"349,154"
Venture Round - Aescuvest,https://www.crunchbase.com/funding_round/aescuvest-series-unknown--6d768d24,Aescuvest,https://www.crunchbase.com/organization/aescuvest,Venture - Series Unknown,"Frankfurt, Hessen, Germany, Europe",1500000,EUR,1677749,2019-05-23,,,,,Yes,"Leading, healthcare dedicated FinTech company. Pan-European deal-by-deal platform.","Financial Services, Health Care, Venture Capital",,https://aescuvest.eu/,,5800000,EUR,6539401,,4,Mutschler Ventures AG,3,,"Gunter Dunkel, Klaus Eckstein KG, Mutschler Ventures AG","384,109"
Seed Round - AISOMA,https://www.crunchbase.com/funding_round/aisoma-seed--55d3e826,AISOMA,https://www.crunchbase.com/organization/aisoma,Seed,"Frankfurt, Hessen, Germany, Europe",,,,2018-05-21,Seed,,,,Yes,AISOMA is a manufacturer AI consulting in the areas of artificial intelligence and big data analytics.,"Artificial Intelligence (AI), Big Data, Embedded Software, Human Computer Interaction, Industrial Automation, Industrial Engineering, Machine Learning, Software Engineering",,http://www.aisoma.de,$1M to $10M,,,,Seed,2,,,,,"509,997"
Pre Seed Round - AISOMA,https://www.crunchbase.com/funding_round/aisoma-pre-seed--0f08fba4,AISOMA,https://www.crunchbase.com/organization/aisoma,Pre-Seed,"Frankfurt, Hessen, Germany, Europe",,,,2017-07-27,Seed,,,,Yes,AISOMA is a manufacturer AI consulting in the areas of artificial intelligence and big data analytics.,"Artificial Intelligence (AI), Big Data, Embedded Software, Human Computer Interaction, Industrial Automation, Industrial Engineering, Machine Learning, Software Engineering",,http://www.aisoma.de,$1M to $10M,,,,Seed,2,,,,,"336,935"
Seed Round - Aomics GmbH,https://www.crunchbase.com/funding_round/aomics-gmbh-seed--7f7e7a04,Aomics GmbH,https://www.crunchbase.com/organization/aomics-gmbh,Seed,"Frankfurt, Hessen, Germany, Europe",,EUR,,2019-06-15,Seed,,,,Yes,"Aomics: A Global Data Science CRO, Delivering Expert Biostatistics and Statistical Programming Solutions","Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Machine Learning",,https://aomics.com,Less than $1M,,EUR,,Seed,2,,,,,"86,325"
Grant - Aomics GmbH,https://www.crunchbase.com/funding_round/aomics-gmbh-grant--d069d1ed,Aomics GmbH,https://www.crunchbase.com/organization/aomics-gmbh,Grant,"Frankfurt, Hessen, Germany, Europe",,EUR,,2021-08-26,,,,,No,"Aomics: A Global Data Science CRO, Delivering Expert Biostatistics and Statistical Programming Solutions","Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Machine Learning",,https://aomics.com,Less than $1M,,EUR,,Seed,2,,,,,"673,957"
Convertible Note - Arago,https://www.crunchbase.com/funding_round/arago-ag-convertible-note--784fea31,Arago,https://www.crunchbase.com/organization/arago-ag,Convertible Note,"Frankfurt, Hessen, Germany, Europe",5500000,USD,5500000,2020-08-11,,104500000,USD,104500000,No,Arago is a leading artificial intelligence company that helps businesses automate their IT processes through intelligent automation.,"Artificial Intelligence (AI), Data Center Automation, Enterprise Software, Information Technology, Machine Learning",,https://arago.co,Less than $1M,60500000,USD,60500000,M&A,3,WISeKey,1,,WISeKey,"529,971"
Venture Round - asgoodasnew,https://www.crunchbase.com/funding_round/asgoodasnew-series-unknown--56cd8f6b,asgoodasnew,https://www.crunchbase.com/organization/asgoodasnew,Venture - Series Unknown,"Frankfurt, Hessen, Germany, Europe",,,,2020-12-10,,,,,Yes,asgoodasnew is an online retail store based in Europe that sells consumer electronics.,"Consumer Electronics, E-Commerce, Electronics",,https://asgoodasnew.de,Less than $1M,29000000,EUR,33655926,,7,,4,,"BC Brandenburg Capital, Munich Venture Partners, pd ventures, Verdane","403,660"
Series C - asgoodasnew,https://www.crunchbase.com/funding_round/asgoodasnew-series-c--99d6de1b,asgoodasnew,https://www.crunchbase.com/organization/asgoodasnew,Series C,"Frankfurt, Hessen, Germany, Europe",18000000,EUR,21354593,2020-11-17,Late Stage Venture,,,,Yes,asgoodasnew is an online retail store based in Europe that sells consumer electronics.,"Consumer Electronics, E-Commerce, Electronics",,https://asgoodasnew.de,Less than $1M,29000000,EUR,33655926,,7,,2,,"Redstone.VC, Schwarzwälder Bote","410,071"
